,well_3,well_4,well_6,well_8,well_9,well_15,well_21,well_33,well_38,well_39,well_42,well_48,well_50,well_61,well_70,well_72,well_85,well_87,well_93,well_94,well_95,well_99,well_103,well_104,well_108,well_110,well_113,well_114,well_117,well_119,well_121,well_133,well_138,well_148,well_149,well_154,well_156,well_158,well_162,well_166,well_171,well_179,well_183,well_192,well_204,well_206,well_209,well_224,well_227,well_232,well_248,well_253,well_263,well_265,well_267,well_269,well_270,well_277,well_281,well_285,well_286,well_295,well_298,well_305,well_307,well_311,well_321,well_325,well_344,well_345,well_353,well_354,well_362,well_367,well_377,well_380,well_387,well_389,well_390,well_394,well_403,well_410,well_418,well_423,well_428,well_430,well_444,well_449,well_453,well_456,well_460,well_462,well_463,well_467,well_471,well_482,well_485,well_492,well_499
1991-01-07,635.8071428571428,379.35,46.84,85.66,42.77,284.35,424.592,156.64,86.31,458.47723170377935,5.84,77.99000000000001,389.5214285714286,67.55,-0.337,44.11,319.24,68.4,44.32,19.55,89.17,228.35,410.72,47.36,62.7,25.75,110.87,90.37,9.95,32.41,656.7350748012584,48.62,31.33,98.27,153.82,337.44,20.1,39.33,501.0376930138708,218.61,107.71,222.77,99.58,27.11,468.415,125.26,30.01,154.46,361.9766666666667,223.62,33.53,57.65,6.88,30.17,39.89,217.55,28.65,108.86,41.05,579.7800000000001,57.76,412.64,78.57,257.46,1.58,105.79,368.16,46.78,49.86,5.01,28.03,8.38,7.76,28.88,89.36999999999999,6.21,-0.26,22.41,84.3,34.95,352.86,39.59,494.17,69.89,31.88,265.07,335.65000000000003,83.6,33.34,365.48,177.23000000000002,176.24,28.62,109.61,579.26,77.32,12.13,313.99,44.62
1991-01-14,635.5516666666666,378.72,46.88,85.58,42.81,285.65,424.555,156.52,86.37,458.36295083510765,5.86,78.06,389.475,67.38,-0.347,44.08,319.34,68.41,44.37,19.54,89.02,228.2,410.95,47.36,62.76,25.74,110.96,90.37,9.96,32.41,657.2527805379654,48.64,31.43,98.48,153.93,337.68,20.19,39.35,501.15,218.58,107.69,222.87,99.64,27.11775944694468,468.35,125.19,30.08,154.83,362.04,223.7,33.53926068903491,57.61,6.88,30.16509012771872,39.95,217.57,28.59,108.9,41.06,579.95,57.78,412.48,78.56,257.52,1.65,105.82,368.11,46.85,49.83,5.06,27.92,8.53,7.8,28.86,89.35,6.23,-0.32,22.29,84.48,35.0,352.87,39.62,494.94,69.77,31.88,265.12,335.57,83.59,33.33,365.45,177.24,176.19,28.68083722842739,109.55,579.28,77.22,12.1,314.1,44.51
1991-01-21,635.4200000000001,377.79,46.91,85.38,42.84,286.2,424.52,156.5,86.45,458.24727174939653,5.89,78.10000000000001,389.462,67.23,-0.507,44.06,319.2,68.44,44.34,19.52,89.06,228.27,411.09,47.42,62.84,25.72,110.64,90.37,9.74,32.4,657.3765577470541,48.61,31.46,98.31,153.945,337.38,20.21,39.37,500.94,218.56,107.68,222.8,99.55,27.0,468.3066666666667,124.99,30.1,154.87,362.09,223.79,33.54,57.57,6.88,30.1603055645433,40.0,217.55,28.56,108.93,41.07,580.03,57.8,412.34,78.56,257.61,1.64,105.85,368.25,46.91,49.88,5.13,27.81,8.52,7.78,28.86,89.33999999999999,6.23,-0.46,22.16,84.33,35.01,352.39,39.62,494.37,69.87,31.87,265.1066666666666,336.41,83.63,33.32,364.79,177.21,176.27,28.69,109.44,579.33,77.15,12.01,314.1,44.44
1991-01-28,635.32,377.35,46.93,85.38,42.83,286.52,424.524,156.44,86.51,458.23719785401477,5.9,78.11,389.482,67.14,-0.467,44.05,319.02,68.45,44.34,19.5,89.09,228.39,411.17,47.43,62.89,25.7,110.41,90.39,9.68,32.39,657.224226282229,48.56,31.48,98.11131171796876,153.84,337.31,20.22,39.37,500.9496241354967,218.48,107.66,222.67,99.48,27.127771467861315,468.23,124.82,30.11,154.9,362.0894068474653,224.01,33.55306879483167,57.56,6.88,30.16,40.06,217.52,28.53,108.91,41.08,580.12,57.83,412.11,78.55,257.68,1.6,105.87,368.44,46.92,49.97,5.05,27.83,8.49,7.74,28.91,89.32,6.17,-0.43,22.07,84.22,35.02,352.25,39.6,493.61,69.69,31.87,265.05,336.20000000000005,83.57,33.34,364.38,177.22,176.33,28.74189913781461,108.95,579.35,77.12,11.93,313.12,44.43
1991-02-04,635.18,377.04,46.94,85.2,42.81,286.5,424.56,156.4,86.52,458.0897833597609,5.82,78.07000000000001,389.515,67.03,-0.567,44.07,318.82,68.49,44.34,19.49,89.02,228.45,411.15,47.48,62.87,25.74,110.26,90.4,9.6,32.38,656.6008873720355,48.53,31.47,98.005,153.69,337.26,20.2,39.37,500.86829374333695,218.43,107.67,222.62,99.4,27.15,468.19,124.7,30.05,154.84,362.105,223.95,33.54731005945404,57.5,6.88,30.159798171990683,40.13,217.48,28.53,108.89,41.09,580.095,57.8,411.93,78.57,257.64,1.55,105.89,368.46,46.91,49.97,4.94,27.85,8.47,7.71,28.93,89.32,6.12,-0.58,22.0,84.05,35.03,352.13,39.61,492.81,69.7,31.87,264.99333333333334,335.71000000000004,83.55,33.34,364.12,177.22,176.18,28.75,108.67,579.32,76.96,11.92,311.02,44.38
1991-02-11,635.1533333333333,376.88,46.94,85.18,42.78,286.6,424.61,156.41,86.52,458.05926676753154,5.84,78.03,389.506,66.99,-0.587,44.09,318.67,68.52,44.33,19.49,88.99,228.32,411.12,47.51,62.84,25.8,110.14,90.4,9.5,32.37,656.3179669811844,48.54,31.48,97.74,153.69,337.24,20.2,39.35,500.8,218.4,107.67,222.56,99.4,27.10978708219397,468.15,124.61,30.04,154.68,362.0650283151135,224.02,33.52,57.43,6.88,30.151050420798217,40.17,217.47,28.56,108.86,41.1,580.08,57.78,411.84,78.56,257.6,1.54,105.88,368.45,46.91,49.98,5.39,27.77,8.52,7.71,29.0,89.32,6.03,-0.61,21.93,83.84,35.03,352.06,39.66,492.39,69.85,31.86,264.94,335.34000000000003,83.53,33.35,364.04,177.24,176.11,28.760430055395855,108.12,579.3,76.91,11.84,309.65,44.32
1991-02-18,635.11,376.71,46.96,85.1,42.78,286.54999999999995,424.578,156.43,86.47,457.93976748374394,5.84,77.99000000000001,389.4966666666666,66.95,-0.577,44.11,318.69,68.52,44.32,19.51,89.14,228.35,411.12,47.51,62.82,25.81,110.09,90.4,9.41,32.36,656.1285369696051,48.56,31.48,97.64086900378608,153.65,337.23,20.19,39.33,500.7882827233699,218.38,107.67,222.52,99.21433458714245,27.11,468.14,124.55,30.04,154.57,362.1,224.1,33.58950753733762,57.42,6.88,30.17,40.19,217.47,28.56,108.86,41.12,580.1343362929643,57.79,411.76,78.55,257.52,1.52,105.92,368.36,46.91,49.98,5.57,27.71,8.45,7.7,29.04,89.30999999999999,6.03,-0.59,21.89,83.69,35.02,352.0,39.65,492.03,69.85,31.86,264.8933333333333,335.34000000000003,83.5,33.37,363.95,177.23000000000002,176.09,28.76981513249841,107.85,579.41,76.94,11.86,308.9,44.31
1991-02-25,635.11,376.63,46.97,85.32,42.76,286.35,424.5057142857143,156.51,86.44,457.9599945381538,5.86,78.12,389.444,67.0,-0.497,44.08,318.56,68.52,44.32,19.52,89.0,228.02,411.09,47.52,62.8,25.82,110.04,90.42,9.49,32.35,655.5509588699449,48.58,31.46,97.595,153.67,337.38,20.15,39.3,500.76,218.38,107.67,222.49,99.28,27.047013878716694,468.1466666666667,124.54,30.04,154.5,362.075,224.05,33.63,57.59,6.9,30.146355942232447,40.2,217.48,28.58,108.83,41.14,579.97,57.76,411.72,78.54,257.45,1.49,105.93,368.28,46.88,49.93,5.87,27.58,8.41,7.68,29.04,89.28999999999999,6.09,-0.4,21.97,83.59,35.01,352.06,39.64,491.74,69.73,31.85,264.8666666666667,335.33000000000004,83.46,33.36,364.89,177.21,176.21,28.78719961481811,107.87,579.42,77.19,11.84,308.2,44.48
1991-03-04,635.195,377.26,46.97,85.27,42.76,286.4,424.49,156.49,86.42,457.9260673431008,5.89,78.25,389.492,67.03,-0.387,44.05,318.67,68.53,44.31,19.54,88.95,228.32,411.14,47.51,62.78,25.84,110.07,90.4,9.55,32.34,655.52,48.56,31.47,97.59,153.82,337.31,20.27,39.3,500.89192583904713,218.47,107.65,222.52,99.28,27.0,468.19,124.57,30.02,154.5,362.04994224413883,224.02,33.601692222170925,57.57,6.88,30.13,40.22,217.51,28.58,108.83,41.15,579.94,57.77,411.74,78.54,257.6,1.47,105.95,368.27,46.87,49.98,5.46,27.49,8.44,7.72,29.03,89.28999999999999,6.09,-0.46,21.92,83.57,35.03,352.06,39.65,491.4,69.7,31.87,264.945,335.41,83.51,33.37,364.22,177.22,176.19,28.82,108.09,579.42,77.1,11.96,309.17,44.42
1991-03-11,635.4542857142858,377.35,46.98,85.23,42.76,285.95,424.54,156.45,86.4,457.90006297982836,5.93,78.34,389.5214285714286,66.99,-0.487,44.02,318.59,68.53,44.35,19.52,88.89,228.39,411.18,47.5,62.77,25.85,110.1,90.42,9.49,32.36,655.42,48.54,31.48,97.6,153.79,337.38,20.3,39.3,500.98,218.46,107.66,222.55,99.3,27.085741362450968,468.2266666666667,124.54,30.02,154.55,362.0720190290087,224.05,33.59,57.52,6.88,30.145831960131844,40.26,217.5,28.64,108.81,41.16,579.873996479012,57.79,411.75,78.53,257.69,1.45,105.93,368.24,46.85,49.76,5.27,27.52,8.46,7.73,29.06,89.28,6.1,-0.53,21.88,83.55,35.03,352.05,39.67,491.91,69.79,31.87,265.0175,335.52000000000004,83.51,33.37,364.33,177.23000000000002,176.17,28.793073828525923,108.38,579.43,77.03,11.95,309.15,44.38
